127.0.0.1 - - [01/Nov/2022:15:59:10 +0900] "GET / HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:59:30 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:01:41 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:05:01 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:07:54 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:08:47 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:09:04 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:09:18 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:10:42 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:11:36 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:11:57 +0900] "GET /bubble_chart/bubble.jsp HTTP/1.1" 200 1793
